City Name,CBG Code,Year,Median Household Income,Population Above Poverty,Population Below Poverty,Population With A Ratio Of Income To Poverty Level Below 0.5,Population With A Ratio Of Income To Poverty Level Between 0.5 And 0.99
Phoenix city,40131090011,2021,43125,1282,607,392,215
Phoenix city,40131090012,2021,34643,2121,1089,579,510
Phoenix city,40131090021,2021,27792,619,648,375,273
Phoenix city,40131090022,2021,33023,1241,820,264,556
Phoenix city,40131090023,2021,47115,582,208,127,81
Phoenix city,40131090031,2021,40020,1563,517,223,294
Phoenix city,40131090032,2021,27326,1480,711,309,402
Phoenix city,40131090034,2021,35353,616,347,150,197
Phoenix city,40131091011,2021,49856,1577,715,251,464
Phoenix city,40131091012,2021,42813,1234,384,22,362
Phoenix city,40131091021,2021,32474,841,790,159,631
Phoenix city,40131091022,2021,60739,2601,669,403,266
Phoenix city,40131091023,2021,47245,808,347,43,304
Phoenix city,40131092002,2021,39894,1054,151,78,73
Phoenix city,40131092003,2021,43545,1648,373,33,340
Phoenix city,40131093002,2021,73245,1647,488,187,301
Phoenix city,40131093003,2021,67098,941,173,23,150
Phoenix city,40131095001,2021,78942,1751,519,120,399
Phoenix city,40131095002,2021,91316,1396,15,0,15
Phoenix city,40131095003,2021,67868,2179,135,44,91
Phoenix city,40131096011,2021,51098,1838,488,54,434
Phoenix city,40131096012,2021,36563,531,329,168,161
Phoenix city,40131096013,2021,41130,1001,355,243,112
Phoenix city,40131096021,2021,58281,1251,223,41,182
Phoenix city,40131096022,2021,46200,2513,674,50,624
Phoenix city,40131096031,2021,65298,1186,246,76,170
Phoenix city,40131096032,2021,66786,505,46,10,36
Phoenix city,40131096033,2021,52161,934,140,4,136
Phoenix city,40131096034,2021,68646,1125,18,18,0
Phoenix city,40131096041,2021,70407,2837,458,247,211
Phoenix city,40131096042,2021,43640,897,256,33,223
Phoenix city,40131097021,2021,59844,1570,265,59,206
Phoenix city,40131097022,2021,60536,1832,325,149,176
Phoenix city,40131097023,2021,61222,1721,119,69,50
Phoenix city,40131097031,2021,77404,1253,104,38,66
Phoenix city,40131097032,2021,40391,1337,363,205,158
Phoenix city,40131097041,2021,47708,1294,648,417,231
Phoenix city,40131097042,2021,45469,679,102,65,37
Phoenix city,40131097051,2021,71667,679,110,8,102
Phoenix city,40131097052,2021,66875,948,180,45,135
Phoenix city,40131098011,2021,50682,2437,877,756,121
Phoenix city,40131098012,2021,39779,1179,288,133,155
Phoenix city,40131098021,2021,63793,1592,384,62,322
Phoenix city,40131098022,2021,41696,848,601,151,450
Phoenix city,40131098023,2021,78750,1185,65,28,37
Phoenix city,40131099001,2021,61303,2265,276,118,158
Phoenix city,40131099002,2021,43688,1372,1016,316,700
Phoenix city,40131099003,2021,51354,1781,521,132,389
Phoenix city,40131099004,2021,63438,1363,77,43,34
Phoenix city,40131100011,2021,47400,2213,635,147,488
Phoenix city,40131100012,2021,71719,2273,234,80,154
Phoenix city,40131100021,2021,77422,1538,42,18,24
Phoenix city,40131100022,2021,44038,2291,740,92,648
Phoenix city,40131101001,2021,42311,777,575,129,446
Phoenix city,40131101002,2021,49788,799,496,206,290
Phoenix city,40131101003,2021,64000,2176,297,73,224
Phoenix city,40131101004,2021,48668,1345,547,101,446
Phoenix city,40131104001,2021,51619,1780,149,88,61
Phoenix city,40131104003,2021,86985,1161,370,75,295
Phoenix city,40131104004,2021,108906,774,91,0,91
Phoenix city,40131105011,2021,60481,593,107,89,18
Phoenix city,40131105012,2021,49747,1853,307,226,81
Phoenix city,40131105013,2021,36042,310,130,64,66
Phoenix city,40131105021,2021,66250,1347,310,111,199
Phoenix city,40131105022,2021,61705,1238,213,66,147
Phoenix city,40131106001,2021,68982,542,106,17,89
Phoenix city,40131106002,2021,68427,2082,86,69,17
Phoenix city,40131106003,2021,58021,412,32,29,3
Phoenix city,40131106004,2021,66136,957,146,13,133
Phoenix city,40131107011,2021,55129,752,177,35,142
Phoenix city,40131107012,2021,43448,737,351,137,214
Phoenix city,40131107021,2021,77727,2384,161,85,76
Phoenix city,40131107022,2021,51397,1628,244,136,108
Phoenix city,40131108011,2021,51781,1827,713,81,632
Phoenix city,40131108012,2021,62938,1014,160,130,30
Phoenix city,40131108013,2021,63482,1149,147,132,15
Phoenix city,40131108021,2021,54271,729,157,81,76
Phoenix city,40131108022,2021,75682,1142,203,98,105
Phoenix city,40131109011,2021,151250,1253,22,6,16
Phoenix city,40131109012,2021,36069,1852,446,91,355
Phoenix city,40131109021,2021,52500,1582,236,90,146
Phoenix city,40131109022,2021,71413,2031,686,110,576
Phoenix city,40131110001,2021,51023,972,98,51,47
Phoenix city,40131110002,2021,120078,770,48,48,0
Phoenix city,40131110003,2021,136458,1140,16,0,16
Phoenix city,40131110004,2021,150361,922,16,16,0
Phoenix city,40131110005,2021,99511,743,0,0,0
Phoenix city,40131111001,2021,153148,1316,72,0,72
Phoenix city,40131111002,2021,44976,987,281,89,192
Phoenix city,40131111003,2021,117434,1973,26,26,0
Phoenix city,40131112011,2021,31671,756,115,49,66
Phoenix city,40131112012,2021,57442,1717,46,31,15
Phoenix city,40131112013,2021,45088,2313,104,81,23
Phoenix city,40131112014,2021,92292,722,79,29,50
Phoenix city,40131112021,2021,48333,1261,655,265,390
Phoenix city,40131112031,2021,44118,1570,312,202,110
Phoenix city,40131112041,2021,67443,3136,331,240,91
Phoenix city,40131113001,2021,60662,1191,41,41,0
Phoenix city,40131113002,2021,68609,988,35,35,0
Phoenix city,40131113003,2021,52935,1169,142,64,78
Phoenix city,40131113004,2021,86346,1137,88,88,0
Phoenix city,40131113005,2021,62686,938,35,35,0
Phoenix city,40131114011,2021,76450,1632,427,155,272
Phoenix city,40131114012,2021,51553,2088,556,47,509
Phoenix city,40131114021,2021,55761,1503,506,99,407
Phoenix city,40131114022,2021,57563,1395,67,30,37
Phoenix city,40131115011,2021,39583,1799,363,163,200
Phoenix city,40131115021,2021,54386,1358,114,64,50
Phoenix city,40131115022,2021,47880,1754,342,33,309
Phoenix city,40131115023,2021,42097,1048,328,61,267
Phoenix city,40131115024,2021,51103,1031,529,218,311
Phoenix city,40131116011,2021,37500,1017,404,87,317
Phoenix city,40131116012,2021,57917,1838,193,109,84
Phoenix city,40131116021,2021,38311,554,157,36,121
Phoenix city,40131116022,2021,53906,1036,368,256,112
Phoenix city,40131116023,2021,53047,1952,543,260,283
Phoenix city,40131117001,2021,47174,1270,183,166,17
Phoenix city,40131117002,2021,82128,1532,71,0,71
Phoenix city,40131117003,2021,69417,967,191,114,77
Phoenix city,40131117004,2021,90702,1209,109,96,13
Phoenix city,40131118001,2021,45662,573,195,73,122
Phoenix city,40131118002,2021,111776,1000,107,59,48
Phoenix city,40131118003,2021,95066,1440,68,68,0
Phoenix city,40131118004,2021,63333,1051,282,58,224
Phoenix city,40131119001,2021,140977,742,28,15,13
Phoenix city,40131119002,2021,127143,480,0,0,0
Phoenix city,40131119003,2021,88594,1225,98,60,38
Phoenix city,40131121001,2021,55662,1367,438,132,306
Phoenix city,40131121002,2021,43375,1011,344,171,173
Phoenix city,40131121003,2021,48750,503,124,7,117
Phoenix city,40131122011,2021,62179,1749,67,55,12
Phoenix city,40131122012,2021,51034,2650,848,436,412
Phoenix city,40131122021,2021,36949,631,390,147,243
Phoenix city,40131122022,2021,58611,848,182,0,182
Phoenix city,40131122023,2021,22976,1369,502,156,346
Phoenix city,40131123011,2021,26169,863,965,322,643
Phoenix city,40131123012,2021,58606,1790,308,52,256
Phoenix city,40131123013,2021,73759,1890,231,185,46
Phoenix city,40131123021,2021,33686,935,658,35,623
Phoenix city,40131123022,2021,48194,970,540,171,369
Phoenix city,40131123023,2021,71389,818,86,19,67
Phoenix city,40131123024,2021,24342,1000,629,365,264
Phoenix city,40131123025,2021,43657,1029,265,188,77
Phoenix city,40131124011,2021,44944,1568,207,106,101
Phoenix city,40131124012,2021,43529,1437,411,20,391
Phoenix city,40131124013,2021,48898,2068,483,111,372
Phoenix city,40131124021,2021,72892,2999,527,120,407
Phoenix city,40131124022,2021,76078,1432,140,73,67
Phoenix city,40131124023,2021,78676,1145,130,0,130
Phoenix city,40131125021,2021,70978,2915,486,165,321
Phoenix city,40131125022,2021,52197,672,126,126,0
Phoenix city,40131125023,2021,53285,1197,644,90,554
Phoenix city,40131125041,2021,75461,1541,508,58,450
Phoenix city,40131125042,2021,40163,1227,661,213,448
Phoenix city,40131125071,2021,36889,1379,298,157,141
Phoenix city,40131125072,2021,37991,1012,483,167,316
Phoenix city,40131125081,2021,55051,1550,484,199,285
Phoenix city,40131125101,2021,63194,756,85,0,85
